school,lat,long,conference,song_name,writers,year,student_writer,official_song,contest,bpm,sec_duration,fight,number_fights,victory,win_won,victory_win_won,rah,nonsense,colors,men,opponents,spelling,trope_count,spotify_id
Colorado,40,-105.16,Pac-12,Fight CU,Richard Durnett,Unknown,Unknown,Yes,No,151,27,Yes,8,Yes,Yes,Yes,No,No,No,No,No,Yes,4,0Q3VKlBT4lugyLG5n9LKIz
Oregon,44.06,-123.08,Pac-12,Mighty Oregon,DeWitt Gilbert and Albert John Perfect,1916,Yes,Yes,No,65,80,Yes,2,Yes,Yes,Yes,No,No,No,Yes,Yes,No,5,4zPgdoDF3Od2dwQdPlGJtt
Oregon State,44.56,-123.28,Pac-12,Hail to Old OSU,Harold Wilkins,1914,No,Yes,No,137,63,Yes,2,No,No,No,No,No,No,No,No,Yes,2,4IV43tyrxewZDmBMp2rtHh
Stanford,37.25,-122.1,Pac-12,Come Join the Band,"Aurania Ellerbeck Rouverol, Robert Browne Hall",1907,Yes,Yes,No,135,63,No,0,No,Yes,Yes,No,No,Yes,Yes,No,No,3,3Zw53YIiVtdcQBmwbBQ2JS
UCLA,34.04,-118.26,Pac-12,Sons of Westwood, Harold P. Williams and N. Loyall McLaren; Kelly James,1959,No,Yes,No,72,69,Yes,3,No,No,No,No,No,Yes,Yes,Yes,Yes,5,0XxQcPAThn9dOZ6NVFUfGl
USC,34.01,-118.17,Pac-12,"Fight On, USC",Milo Sweet,1922,Yes,Yes,Yes,75,60,Yes,5,Yes,Yes,Yes,No,No,No,Yes,No,Yes,5,23EM48kuqZWVltXE9bApcK
Utah,40.45,-111.51,Pac-12,Utah Man,Harvey Holmes and the football team,1904,No,Yes,No,168,66,Yes,1,No,No,No,No,Yes,Yes,Yes,No,No,4,5pwoauvjUb3aRkDDvibaco
Washington,47.39,-122.18,Pac-12,Bow Down to Washington,Lester J. Wilson,1915,No,Yes,Yes,139,89,Yes,1,Yes,No,Yes,Yes,No,Yes,No,No,No,4,0OLQPcJ1jMwrXJbt81hHrx
Washington State,46.73,-117.16,Pac-12,The Fight Song,Zella Melcher and Phyllis Sayles,1919,Yes,Yes,No,81,64,Yes,7,Yes,Yes,Yes,No,No,Yes,No,No,Yes,5,5VErX42t9bSJGas8aOtQyD
Alabama,33.12,-87.32,SEC,Yea Alabama,Ethelred Lundy (Epp) Sykes,1926,Yes,Yes,Yes,153,59,Yes,3,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,6,1lkKK6lbsPYD6n5QZbiH1q
Arkansas,36.04,-94.1,SEC,Arkansas Fight,William Edwin Douglass,1913,Yes,Yes,No,77,88,Yes,3,No,No,No,Yes,No,No,No,No,Yes,3,20iLjYvQOdAO3lPYkfycGn
Auburn,32.6,-85.49,SEC,War Eagle,Robert Allen and Al Stillman,1955,No,Yes,No,77,27,Yes,1,Yes,Yes,Yes,No,No,Yes,No,No,No,4,1WSPADIiYIO5GfNTJ2vwnM
Florida,29.64,-82.35,SEC,The Orange and Blue,George Hamilton and Thornton Whitney Allen,1925,No,Yes,No,71,66,Yes,1,No,No,No,No,No,Yes,No,No,No,2,15yyBZUfgNbft50mMB7a4V
Georgia,33.57,-83.22,SEC,"Glory, Glory","Hugh Hodgson, based on traditional song",1915,Yes,No,No,162,41,No,0,No,No,No,No,No,No,No,No,Yes,1,7masdC1Jz6f4okFu4tAwOz
Kentucky,38.02,-84.3,SEC,On! On! U of K,Troy Perkins and Charles A. Lampert,1923,Yes,Yes,Yes,79,52,Yes,4,Yes,Yes,Yes,No,No,Yes,No,No,Yes,5,6QMYhg8EaZm7P1n4FZrCWB
LSU,30.24,-91.1,SEC,Fight for LSU,Castro Carazo and W.G. Higginbotham,1937,No,Yes,No,168,83,Yes,5,No,Yes,Yes,Yes,No,Yes,No,No,Yes,5,5AeAxCC07c4eyWY8eKopQ4
Mississippi,34.37,-89.53,SEC,Forward Rebels,E.F. Yerby,Unknown,Unknown,Yes,No,153,65,Yes,6,Yes,Yes,Yes,No,No,Yes,No,No,No,4,301ClIQs4cI8poO11mklxg
Mississippi State,33.27,-88.47,SEC,Hail State,Joseph Peavey,1936,No,Yes,Yes,146,54,Yes,2,Yes,Yes,Yes,No,No,No,No,No,Yes,4,3WN6SK7WfjUSRDFH4PlMNV
Missouri,38.94,-92.33,SEC,Fight Tiger,Donald MacKay and Robert Karsch,1946,Yes,Yes,Yes,138,86,Yes,4,Yes,Yes,Yes,No,No,No,No,No,No,3,4nrVmzJetWGvMa3OKGJm2Q
South Carolina,33.59,-81.01,SEC,The Fighting Gamecocks Lead the Way (Step to the Rear),"Paul Dietzel and Elmer Bernstein, arranged by James Pritchard",1968,No,Yes,No,153,64,Yes,4,No,Yes,Yes,No,No,Yes,No,No,Yes,4,65X66oBRmSp8gDkoRGbLjD
Tennessee,35.57,-83.55,SEC,Rocky Top,Felice and Boudleaux Bryant,1967,No,No,No,149,53,No,0,No,No,No,No,No,No,No,No,No,0,5BRY9YO0PDey8RQcDOV9aP
Texas A&M,30.36,-96.2,SEC,Aggie War Hymn,J.V. “Pinky” Wilson,1918,Yes,No,Yes,117,172,Yes,1,No,No,No,No,Yes,No,Yes,Yes,No,4,4mssGSMkmNIv0XR5e6j9Ky
Vanderbilt,36.14,-86.8,SEC,Dynamite,Francis Craig,1941,No,Yes,No,72,45,Yes,3,Yes,Yes,Yes,No,No,No,No,No,No,3,5tXWqJHiTDHRYtOngsBPAW
Boston College,42.2,-71.1,ACC,For Boston,T.J. Hurley,Unknown,No,Yes,No,147,84,No,0,No,No,No,No,No,No,No,No,No,0,4E8cLR6NcYCCJWqD2iwz7c
Clemson,34.4,-82.5,ACC,Tiger Rag,Original Dixieland Jass Band,1917,No,Yes,No,145,78,No,0,No,No,No,No,No,No,No,No,Yes,1,7hGtgN4N9ebZTlC7xhvKIE
Duke,36,-78.56,ACC,Fight Blue Devils,Joe Hewitt and Doug Ballin,1947,No,Yes,No,139,58,Yes,5,No,Yes,Yes,No,No,Yes,No,Yes,No,4,0fDiYvMTYWSSrIuHVJGMZj
Florida State,30.44,-84.3,ACC,FSU Fight Song,Doug Alley and Tommie Wright,1950,Yes,Yes,No,135,92,Yes,6,Yes,Yes,Yes,No,Yes,No,No,No,Yes,5,552UZRLtAO5YXvIVRLjphI
Georgia Tech,33.46,-84.23,ACC,Ramblin' Wreck From Georgia Tech,Unknown,Unknown,Yes,Yes,No,148,68,No,0,No,No,No,No,No,Yes,Yes,Yes,No,3,0ZOzvjnZDwrtluHrwbtvGR
Louisville,38.12,-85.45,ACC,Fight! U of L,Robert B. Griffith,1962,No,Yes,No,139,80,Yes,3,Yes,Yes,Yes,Yes,No,No,No,No,Yes,5,1sCmJDLWfD4hsCHyc9hqUr
Miami,25.72,-80.28,ACC,Miami U How-Dee-Doo,Henry Fillmore,1950,No,Yes,No,75,73,Yes,3,Yes,No,Yes,No,No,No,No,No,Yes,3,2TDHghruqAnMmH4L9GFUUr
North Carolina,35.54,-79.02,ACC,I'm a Tar Heel Born,Unknown,Unknown,Unknown,Yes,No,158,38,No,0,No,No,No,Yes,No,No,No,No,No,1,23cCr6w4YgxQaYlr3eNTUr
North Carolina State,35.47,-78.4,ACC,The Red & White Song,J. Perry Watson,1961,No,No,No,90,82,No,0,No,No,No,No,No,Yes,No,Yes,Yes,3,2Pn76lkyMhOxJj8maIrIRT
Pitt,40.26,-79.57,ACC,Hail to Pitt,George Kirk and Lester Milton Taylor,1911,Yes,Yes,No,79,110,No,0,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,6,55nndPja6lpTsGMinT1SJy
Syracuse,43.04,-76.13,ACC,Down the Field,Ralph Murphy and C. Harold Lewis,1914,Yes,Yes,No,137,85,Yes,3,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,6,4zrPkQ9AFljRbPy0JNW6cA
Virginia,38.02,-78.3,ACC,The Good Old Song,Edward H. Craighill,1893,Yes,No,No,112,42,No,0,No,No,No,Yes,Yes,No,No,No,Yes,3,4zymLpKnHG2KURvrSUyUy8
Virginia Tech,37.13,-80.25,ACC,Tech Triumph,Wilfred P. Maddux and Mattie Eppes,1919,Yes,Yes,No,133,71,No,0,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,5,5v3wGg8VMD8MMYGb8SXBss
Wake Forest,36.13,-80.28,ACC,O Here's To Wake Forest,C.P. Weaver,1908,No,Yes,No,146,69,No,0,No,No,No,Yes,No,Yes,Yes,No,No,3,3u6THWNCTIdCcGIcJ1FQsN
